Date,Symbols,Close,High,Low,Open,Volume
2020-12-09,GOOGL,1777.86,1828.37,1762.0001,1810.36,1585578
2020-12-09,FB,277.92,287.63,271.75,283.66,25160530
2020-12-09,PFE,41.85,43.0797,41.13,43.07,85874360
2020-12-09,MRNA,156.59,170.8,147.2,170.2,40885105
2020-12-09,BNTX,122.81,129.05,116.58,128.99,5249580
2020-12-08,AMZN,3177.29,3184.13,3120.02,3158.9,3279049
2020-12-08,GOOGL,1811.33,1815.97,1791.28,1808.52,996317
2020-12-08,FB,283.4,286.4272,281.55,286.01,10731946
2020-12-08,PFE,42.56,42.77,41.35,41.4,86650116
2020-12-08,MRNA,169.86,170.51,164.3,165.75,27681444
2020-12-08,BNTX,128.11,129.8998,126.5,127.0,4580061
2020-12-07,AMZN,3158.0,3180.76,3141.69,3156.48,2745875
2020-12-07,GOOGL,1817.03,1829.29,1803.04,1815.55,1113877
2020-12-07,FB,285.58,288.49,278.2,279.19,12997268
2020-12-07,PFE,41.25,41.4,40.37,40.66,48006646
2020-12-07,MRNA,159.52,163.98,152.97,155.03,31325939
2020-12-07,BNTX,125.7,126.38,121.0,121.0,4912459
2020-12-04,AMZN,3162.58,3198.21,3158.76,3162.58,2913611
2020-12-04,GOOGL,1823.76,1829.4994,1813.59,1820.22,1027242
2020-12-04,FB,279.7,283.46,279.3,280.3,10880299
2020-12-04,PFE,40.34,40.45,39.89,39.89,35368133
2020-12-04,MRNA,152.52,157.82,148.51,157.59,27704832
2020-12-04,BNTX,120.0,120.75,114.42,117.8419,3142595
2020-12-03,AMZN,3186.73,3228.64,3181.31,3205.46,2892039
2020-12-03,GOOGL,1821.84,1843.83,1817.0,1820.54,1236366
2020-12-03,FB,281.85,286.65,281.07,286.25,12921694
2020-12-03,PFE,40.09,41.03,39.52,40.98,68570055
2020-12-03,MRNA,157.26,159.11,143.0101,143.5,38656507
2020-12-03,BNTX,118.68,121.8,115.0,119.85,4264644
2020-12-02,AMZN,3203.53,3232.0,3173.2601,3221.65,3129304
2020-12-02,GOOGL,1824.97,1832.74,1785.1695,1795.36,1471235
2020-12-02,FB,287.52,291.78,280.825,285.36,17361624
2020-12-02,PFE,40.8,41.41,40.3,40.47,84347479
2020-12-02,MRNA,143.0,149.7999,128.1,138.63,51217334
2020-12-02,BNTX,121.09,123.59,116.43,120.85,7164716
2020-12-01,AMZN,3220.08,3248.95,3157.18,3188.5,4544382
2020-12-01,GOOGL,1795.36,1821.7199,1763.03,1766.655,1868134
2020-12-01,FB,286.55,289.3,278.96,279.16,20777906
2020-12-01,PFE,39.41,40.5,39.01,39.4,72660817
2020-12-01,MRNA,141.01,178.5,130.33,177.66,125552341
2020-12-01,BNTX,114.01,128.1299,108.0,124.5,9634549
2020-11-30,AMZN,3168.04,3228.39,3125.55,3208.48,4063916
2020-11-30,GOOGL,1754.4,1780.335,1747.84,1775.65,1620887
2020-11-30,FB,276.97,277.7,271.01,276.03,16693336
2020-11-30,PFE,38.31,38.8,37.6,37.95,65425877
2020-11-30,MRNA,152.74,153.8699,141.05,144.0,73203064
2020-11-30,BNTX,124.24,124.91,113.5,113.64,9934807
2020-11-27,AMZN,3195.34,3216.19,3190.05,3211.26,2392867
2020-11-27,GOOGL,1787.02,1797.01,1764.54,1764.54,739507
2020-11-27,FB,277.81,279.13,274.82,277.39,7808426
2020-11-27,PFE,37.23,37.26,36.75,36.78,25276957
2020-11-27,MRNA,127.03,130.06,114.86,115.12,43438495
2020-11-27,BNTX,109.99,111.2,106.1,106.44,3874562
2020-11-25,AMZN,3185.07,3198.0,3140.26,3141.87,3790403
2020-11-25,GOOGL,1764.13,1770.38,1748.36,1767.81,979957
2020-11-25,FB,275.59,280.18,272.65,278.14,12467009
2020-11-25,PFE,36.53,36.56,36.24,36.53,26955795
2020-11-25,MRNA,109.18,109.29,98.65,99.03,25850691
